lat,lon
14.7283979,121.0078614
14.7428746,120.9813877
14.7247316,120.9869087
14.5876960,121.0384755
14.4608726,120.9995405
14.6721024,121.1046732
14.5298770,120.9912752
14.6656923,121.1260178
14.7211302,120.9957238
14.7082878,121.0427160
14.6730827,121.0207047
14.6337849,121.0772142
14.6663633,120.9554856
14.7129808,120.9579579
14.4791716,121.0187334
14.6047914,121.0426513
14.6494093,121.1172642
14.5732360,121.0354216
14.7615789,121.0819899
14.7127000,121.0985376
14.6830694,121.0498124
14.7715703,121.0934477
14.7826731,121.0505502
14.6455301,121.1175692
14.5969482,121.0374110
14.6058692,121.0976151
14.5675204,120.9963537
14.5876239,121.0625180
14.6501204,121.1105724
14.5233620,121.0932773
14.6645618,121.0206385
14.6542802,121.1368979
14.5086918,121.0546265
14.6234135,121.0490359
14.5080911,121.0486642
14.5815128,121.0920825
14.6361785,120.9935339
14.5981600,120.9659846
14.7148893,120.9671687
14.6924839,120.9645724
14.6905059,121.0976311
14.6919478,120.9661795
14.5517850,120.9879112
14.6224904,120.9621279
14.5807069,121.0679147
14.5300442,120.9998743
14.6020063,121.0532789
14.5387623,121.0031259
14.6737700,121.0473914
14.5377368,120.9805302
14.4253282,121.0254020
14.5574406,121.0527946
14.5114592,121.0468685
14.5569529,121.0225260
14.6039852,121.0387967
14.5160334,121.0634439
14.5717352,121.0383884
14.4480596,120.9840849
14.4708266,121.0383264
14.4605440,120.9828539
14.5256707,121.0751706
14.6328179,121.0743834
14.7492529,121.0752786
14.4308714,120.9984322
14.6124015,120.9870331
14.6662017,121.0189884
14.7422612,121.0537544
14.4900620,121.0130908
14.6969321,121.0807637
14.4469099,120.9772261
14.6975398,120.9504040
14.6458012,120.9875897
14.7323696,121.0223163
14.7817041,121.0310205
14.6505139,121.0960528
14.5902994,121.0018370
14.6931193,120.9559295
14.6001188,121.0394851
14.5867453,121.0045320
14.6746920,121.0785762
14.4163276,121.0146929
14.4263596,121.0449917
14.6535795,121.1229851
14.6979033,121.0828154
14.5703403,121.0074887
14.6935005,121.0211061
14.6037324,121.1054523
14.5090017,121.0485094
14.5655722,121.0372043
14.6732094,120.9350014
14.4276635,120.9987382
14.4033723,121.0402442
14.6935439,120.9747677
14.6509588,120.9959539
14.7448023,121.0347258
14.7302351,121.0312561
14.5930366,120.9804814
14.5611209,121.0540923
14.5894531,121.0423285
14.6755544,121.0086230
14.5534540,121.0177839
14.5489358,121.0106716
14.5628852,121.0675307
14.6123755,120.9969858
14.6104468,121.0787178
14.5415780,120.9819037
14.5815205,121.0871545
14.7570531,121.0600886
14.5953972,120.9838338
14.5658989,120.9999475
14.5965530,120.9524171
14.5311930,121.0731753
14.6329336,121.0434461
14.6798092,121.0921948
14.6104275,121.0125163
14.7078801,120.9638502
14.6233720,121.0850377
14.4681794,120.9758521
14.6800704,121.0397284
14.5428947,120.9996831
14.6882901,120.9988384
14.4898399,121.0277062
14.5882343,120.9866843
14.5505720,121.0815405
14.5450842,121.1162118
14.5672701,121.0236987
14.4722917,121.0365809
14.7478350,120.9833553
14.6488808,121.0499092
14.6347276,120.9750956
14.6924130,121.0255376
14.6133796,120.9758695
14.7380316,121.0044916
14.6883760,121.0418339
14.6297013,121.0531797
14.5458518,121.0236952
14.5459951,121.1013957
14.4722420,120.9742098
14.6128659,121.1015587
14.7467958,121.0766338
14.7708622,121.0780486
14.5421268,121.0565125
14.3781422,121.0503293
14.7601560,121.0862888
14.6155291,121.0457979
14.5443348,121.0165360
14.6659660,121.0717217
14.5286339,120.9850222
14.6706648,120.9796316
14.3901068,121.0089115
14.6446717,121.0104404
14.6991808,120.9515956
14.5607857,121.0552347
14.5178971,121.0229545
14.7150967,120.9738343
14.6256299,121.0884209
14.7054499,120.9473301
14.6408202,121.0468809
14.4538128,120.9762274
14.6370307,121.0859028
14.5130136,121.0488449
14.7462628,121.0675614
14.5372531,121.1086774
14.6765412,121.0690382
14.5636844,121.0360454
14.6052099,120.9644098
14.7272784,121.0157977
14.5131414,121.0324658
14.6952480,121.0266586
14.5338064,120.9810174
14.7797671,121.0392091
14.5811811,120.9796831
14.6201966,121.0999300
14.7779745,121.0493745
14.5232025,120.9906792
14.7813399,121.0325931
14.6932739,120.9752237
14.5805020,121.0333586
14.6865753,120.9951334
14.5886108,121.0305219
14.6037313,121.1042562
14.4226893,121.0370814
14.4472246,121.0199830
14.7717087,121.0458887
14.6058308,121.0226940
14.3849444,121.0320759
14.3628825,121.0143058
14.7319028,121.0003257
14.5895373,121.0370764
14.6191220,121.0489959
14.7129673,121.0299311
14.6890497,121.1078365
14.4934053,121.0146604
14.5865661,120.9725895
14.4695771,120.9625984
14.6521784,121.0084295
14.7193040,120.9576943
14.5257011,121.0433042
14.6978119,120.9701131
14.5161268,121.0168906
14.5174004,120.9933316
14.7221834,121.0079544
14.5750198,121.0894124
14.5994869,120.9645867
14.6672902,120.9373813
14.6899994,121.0013037
14.5305169,120.9930661
14.5613147,121.0762064
14.6579912,121.0306536
14.5070791,121.0017555
14.6996625,121.0440152
14.6531487,120.9708346
14.7226634,121.0087697
14.6637683,120.9680144
14.6207787,121.0163637
14.6671956,120.9875728
14.6956815,121.0767807
14.5988443,121.0365389
14.7094083,120.9518029
14.6456836,121.0475710
14.5378383,121.0012556
14.5639702,121.0386393
14.7771596,121.0313440
14.5249776,120.9968857
